Game,NRUL,MGOP,NPLY,ANIM,MAP,UNU,NP,GF
TripleA,-0.1840764098414377,-0.07266714186990673,-0.22623395418448208,-0.4472135954999579,0.015837082539658275,-0.7785199128990106,1.6431676725154982,53
FreeCiv,1.6771406229997656,1.5778346075783605,1.7721659744451095,0.22360679774997896,-0.7364243380941125,-0.41755203348468234,-0.1825741858350553,94
Battle for Wesnoth,-0.17725876503249557,0.05595557694375232,-0.43361507885359063,1.5652475842498528,0.11481884841252285,1.406799140852598,-0.1825741858350553,54
Advanced Strategic Command,-0.299976371593454,-0.4040818845065611,-0.5278792264304581,-0.22360679774997896,1.5797489833309186,0.675107493391122,-0.1825741858350553,50
Scotland Yard,-1.0158290765323783,-1.1570411581456455,-0.5844377149765787,-1.118033988749895,-0.9739805761889875,-0.8858346878600271,-1.0954451150103321,53
